"a","b","tBCB","r_MDA","minref","freq1","lam1","maxtrans","freq2","lam2"
0.426,0.271,0.57,0.64222,0.18097,47.7,6.2893,0.83381,47.66,6.2946
0.887,0.828,0.522,0.67722,0.29615,47.72,6.2867,0.80677,47.68,6.2919
0.298,0.887,0.857,0.71778,0.53995,47.84,6.2709,0.70253,47.8,6.2762
0.243,0.893,0.679,0.715,0.29857,47.86,6.2683,0.79663,47.82,6.2735
0.664,0.245,0.235,0.655,0.45331,47.62,6.2999,0.75827,47.6,6.3025
0.092,0.399,0.326,0.65333,0.21789,47.48,6.3184,0.83181,47.44,6.3238
0.539,0.384,0.743,0.64611,0.32033,47.8,6.2762,0.79592,47.76,6.2814
0.099,0.624,0.304,0.76,0.018932,47.42,6.3264,0.84912,47.38,6.3318
0.747,0.602,0.371,0.66944,0.37962,47.66,6.2946,0.78579,47.62,6.2999
0.527,0.557,0.264,0.69833,0.3592,47.64,6.2972,0.79243,47.6,6.3025
0.815,0.752,0.395,0.74389,0.25124,47.7,6.2893,0.81614,47.64,6.2972
0.718,0.886,0.696,0.665,0.348,47.8,6.2762,0.78675,47.76,6.2814
0.431,0.027,0.199,0.68944,0.32041,47.42,6.3264,0.80609,47.4,6.3291
0.262,0.188,0.384,0.72333,0.024672,47.48,6.3184,0.85161,47.42,6.3264
0.088,0.77,0.408,0.65778,0.2222,47.6,6.3025,0.82816,47.56,6.3078
0.557,0.465,0.441,0.76333,0.06185,47.82,6.2735,0.83867,47.74,6.284
0.79,0.352,0.805,0.69278,0.47003,47.84,6.2709,0.73744,47.8,6.2762
0.339,0.738,0.251,0.76056,0.16409,47.54,6.3105,0.83461,47.5,6.3158
0.11,0.061,0.366,0.66778,0.098632,47.4,6.3291,0.85077,47.34,6.3371
0.473,0.482,0.709,0.74444,0.4141,47.86,6.2683,0.75661,47.82,6.2735
0.096,0.388,0.777,0.61778,0.28434,47.82,6.2735,0.80724,47.76,6.2814
0.812,0.076,0.361,0.70722,0.25353,47.64,6.2972,0.82364,47.58,6.3052
0.516,0.099,0.544,0.76667,0.13629,47.9,6.263,0.82309,47.82,6.2735
0.696,0.846,0.449,0.75889,0.19462,47.76,6.2814,0.82221,47.7,6.2893
0.274,0.379,0.329,0.74944,0.028387,47.42,6.3264,0.85056,47.38,6.3318
0.467,0.577,0.761,0.70944,0.42504,47.84,6.2709,0.7554,47.8,6.2762
0.303,0.694,0.714,0.61611,0.27581,47.78,6.2788,0.81081,47.74,6.284
0.729,0.48,0.467,0.63,0.33698,47.68,6.2919,0.80039,47.62,6.2999
0.393,0.431,0.823,0.74944,0.92028,40,7.5,0.6921,47.82,6.2735
